uid,firstname,lastname,registration_dates,registration_country_code,email_domain,userid,device_hash,card_hash,ip_hash,transaction_hash,application_hash,device_type,card_type,card_country_code,ip_country_code,transaction_amount,payment_channel,transaction_date,transaction_status
1305959480359697,indy,nichols,2021-04-05,276,yahoo.com,2021276480359697,fa4a581531093b2d47872284af0ad1c4,266cc03fd4551359881b91e4424cff9e,d7b444145f1f25716fd8364644389058,63a839922b92784ef08bf6a767d6d73f,4806425567a524341772d721442bba01,ZFY-670,visa,826,276,4.55,adyen,2021-01-02,successful
420793135905746,shideh,mavris,2021-11-21,428,yahoo.com,2021428135905746,a71c7e6793bf3eebb19aa1efc2eb54e0,677d3e481bf2b53364ee6b9dc312cc1b,e864847a6949f053fc3bea491dc02050,d3fcc86f13ae07d5bb780ff8cdbf90b3,45e60c9e3f7353fa9c11a4aec233056e,BTM-467,mastercard,380,250,2.49,paypal,2021-01-02,successful
2963322348524225,soohyun,kroeger,2021-02-22,642,gmx.de,2021642348524225,35824b9f7081cd2a96ef29abec912ad2,7f587103f2d9fed1026e7a174bca6608,bff5577bb1ea7b2c3ca4c13c7442acea,7f151a38301e37bb60f602a00a1ed85b,dd81d93efdaaa79c943d95c4d6ea93bb,KFT-864,mastercard,380,40,0.65,worldpay,2021-01-02,successful
1120370598976278,saman,wassong,2021-09-21,208,gmail.com,2021208598976278,5f7b94fddc0c33d891adcd523970f29c,0f0c5abbbaf424a387bda71bf089f375,bd131591bed2fb7bbbd95073f6858987,bdfdf0eb176d50fd9fd7af0fad1fc121,7da388c5a09c812f99b53b1362d37fd9,BTM-467,mastercard,56,620,3.89,paypal,2021-01-02,successful
2151432482314605,shrabya,schweizer,2021-01-13,804,free.fr,2021804482314605,d7d57d3263207a822f83bdd09d7ff3ee,562b4fb36a1faad6ee8e41af624abbab,988b9375d35345f7994b6a8812561f4b,db7b58d119de5c659013cef3c46dc7c5,5ff0e1e98f4828fb109902f7fe69d029,UCD-528,visa,250,826,1.37,paypal,2021-01-02,successful
8513400074460501,lucio,lucas,2021-10-26,724,yahoo.com,2021724074460501,1bf93b455e60c7cef683b0d27f737fa0,9c727e16df6b65234b9cec93fa1c2aa5,d1fecf684f84b6c5ab1b3408cdd84c92,8909a341c890638e0f9fd89e43ceafe5,9ed7aaaf00d1aaad5aef4fd40779dc9c,QEB-386,visa,616,826,8.28,adyen,2021-01-03,successful
8200661043693937,kristin,cher,2021-08-18,276,yahoo.co.id,2021276043693937,ed207511a8546bba24c6b5d488f8efa0,0d5980dc88a4924ef910a41eb7013f96,a1e1ddb7db6756cf93771b0275c79629,2491b600b5f0e419b299b3966ea801e8,6c24923fabb62b318b0c6e0d2d4bc213,FRZ-165,visa,276,826,0.22,worldpay,2021-01-03,successful
1090108403161088,henrik,benitez,2021-04-05,276,hotmail.com,2021276403161088,287b02463c9fc050a7bbf9f9241fcdf6,f27477e854d170baa6121cc21620e37a,da594b45a539b15f84be84d8cb4e6862,202325dd69836b54a0169bec34ab8d44,0ba40be8b3f31b3e5e188c270a4aa8de,ARF-920,visa,642,380,0.14,adyen,2021-01-03,successful
7249460042313122,andrea,berdejo,2021-09-01,276,hotmail.com,2021276042313122,1dd5e97e7c56c8d0be78b0d991431b64,ddae5712624687afab236f019b575f6d,95773ffea7a34dcef4d4463d63d23954,c5372d8df0f8ea232b9b1ffe8912bf5d,2945d7f687aa5ac4b2b445dd5d06aea0,ARF-920,visa,348,250,0.32,paypal,2021-01-03,successful
3790934871736769,chasity,keiser,2021-01-09,276,yahoo.com,2021276871736769,b4b56689d09dc984673d300c0075146d,e71d46d66e60be3271835dcf79ef39e0,0849a48ef73c60000f132213890ab608,2491b600b5f0e419b299b3966ea801e8,59a6a44f177d13ec6fe5716ed26b1850,FRZ-165,visa,250,724,3.82,worldpay,2021-01-03,successful
7761093782037830,unders,wegner,2021-11-01,826,hotmail.com,2021826782037830,4355f6694c5915cf7f2c60ccdb331e25,601b1332647ab7ff40e4a7bb6dc2c0db,2cf7316d806e540346897737bbf34542,2491b600b5f0e419b299b3966ea801e8,9aef465cb463db1313906429bb400038,OYC-205,visa,380,276,0.13,worldpay,2021-01-03,successful
2118806986802515,christie,driller,2021-01-15,348,mail.com,2021348986802515,95515b6ebfbceedfaee500521fd227f0,f2ad3e3c381a49f97be7738e2ebe67d3,eae65114f0534dbae9609311fffcbf7b,9e5a7feb54fc5cfcb3e15fdc6197184f,b52b722ddc47590edbcf61d8be722748,VIL-034,mastercard,620,276,9.97,paypal,2021-01-03,successful
8450055501860539,emily,detris,2021-09-21,804,yahoo.com,2021804501860539,faca5ab33feb450022fc9bda7a872231,ae2be7d2fdeec8980383ed2159132d40,951c3755998d03c5f6338431eacf902e,c5372d8df0f8ea232b9b1ffe8912bf5d,28507906fcd7c423971f8fafd74e1cc8,UCD-528,mastercard,616,250,0.4,paypal,2021-01-03,successful
3378642382343250,loretta,weinberg,2021-02-01,616,outlook.com,2021616382343250,338db77db959f474e7e50926951f2ac6,ba36466846dd0e578bfcc2c2c6e3348b,587ab90f4accce2e3d6b8a68d7631e6a,94aa2e90ffad699c07fdcfe285633b25,5e7e0ce4e3a68c6a40e3ae53964d11b0,MJO-693,visa,250,276,8.89,adyen,2021-01-03,successful
1686530342817121,puja,ricardo,2021-06-11,498,aol.com,2021498342817121,ecda1cd9b57d69e59d7844ad24562d66,b29b09fcc15ddfc4f3274e63d63baf68,1eab3501407caa1028d944b61545556f,d37a9ade93cea137963af485bc9accb0,10385aeb9c985dc0c5d5c689a634e2f2,HDR-249,mastercard,112,703,7.05,adyen,2021-01-04,successful
6613751363227456,chas,perlin,2021-03-27,642,libero.it,2021642363227456,8dc81eb6a18086ea90e553cf41faf737,4f8a156fc2099b3c3caf99749b48a559,356ccce814c35987464504618d3121c2,a7929ca3f49e857d7c36791bfb21cada,9aef465cb463db1313906429bb400038,TEY-412,mastercard,348,804,0.13,adyen,2021-01-04,successful
5889528035823952,djulbic,stoltz,2021-10-31,8,yahoo.com,20218035823952,757c47d93a14db88dad37f99e2825d7f,2ba0989fa307a02b0d86adbdf3209752,fb43e80c0f7523b0e7ab90aac41de9d8,def0e2b5ed3bdf667e81322d995bdb09,ce0be9821f197f72a77176d5603508f4,NDL-805,mastercard,250,56,0.34,docomo,2021-01-04,successful
2849485906909447,sharookh,bruner,2021-11-23,112,gmail.com,2021112906909447,b426520bf8b57e24eeaad3322a43a207,31fc7ed0ec8dbceb10e5735730538eee,792fbfd96763c1b82cb5798543b3b5ec,451205e83bb797a8054c5f5cc55fc40b,e7e5d14ccb3d8b58330b0e4cfdc8f20e,YOA-715,mastercard,380,380,9.0,paypal,2021-01-04,successful
1864606340357501,stephenson,d’andrea,2021-06-08,826,gmail.com,2021826340357501,221a2acd4923a384caf3ddc76952588f,51ad2c69cf3f50caf73e8e3bcf8b33fb,e091a719a8fb25cb79a57873f80e1ef5,42a28eb9585cf484a6c605d9ddd6f87b,0fbbbe9adccf248eac3c051b61ddaefd,JUZ-239,visa,804,276,8.47,paypal,2021-01-04,successful
859402051948671,all,lansburgh,2021-01-07,620,yahoo.com,2021620051948671,e76ce7a3effd23e5b0a571fb03a020e1,deec7ec313bd9b584cbd6b2f82d2f0bc,a03e6115ca589fb474fb79de38fa16bf,8bd3f48fde1f51347234bf6602e9a69c,b62d94d1075337ad7a89a1ea5e0ad753,IKW-493,visa,756,276,14.79,paypal,2021-01-04,successful
2363542576513527,anis,lytle,2021-09-01,380,yahoo.com,2021380576513527,1ad3b08ab954fa2d956528db40c04aa4,02b3f5600bd931e239c4874ce329108d,95181a2c87f71eb15c9278c687a29a82,8bd3f48fde1f51347234bf6602e9a69c,04912d19e13f63a2fba4b6ffabda86a2,NBT-391,visa,250,250,0.05,paypal,2021-01-04,successful
5031749443494004,monique,waymouth,2021-06-27,203,hotmail.com,2021203443494004,636af9b68595b9ff0677e0420a81a56c,93764d0b8e3e3239c021712464af6e88,93d07df74d48709576b2cb01ca29e51f,42a28eb9585cf484a6c605d9ddd6f87b,31dd8d8e1f1d57690b5240d121ce7c27,IKW-493,mastercard,703,528,0.68,paypal,2021-01-04,successful
2171631092589204,dzielak,tritsis,2021-08-03,826,hotmail.com,2021826092589204,a6e420018299013d335a899cbfb30d01,4b2a7eebd5bcb9104c5b38396ceb1389,074f4eab005d55fe6ea70639dab28a7b,3e909c0b8ab60943f28671415faad0cd,35528c9c1cbcd62e91da853dbb44c416,UCD-528,visa,752,616,0.0,paypal,2021-01-04,successful
4077260178601053,roberto,sandoval,2021-07-25,348,gmail.com,2021348178601053,c6883ecaf7e33230a17cf3e0b1bce2ff,19851cc3b571f7aa09ce907ac1fc4800,cf5956276e08a0422b5d7617103ecc5f,fcbdfe274eb0d6fd1336df3dc1bc5e90,442e2499c51b3dab47b6de5ea4786500,JUZ-239,visa,804,804,2.95,docomo,2021-01-04,successful
1844486646187590,deepti,dixon,2021-02-03,616,gmail.com,2021616646187590,b14e66b6778a31d07797c786e4834f65,1018feed69ed42a58848a66974c9f356,74b21332c8f4d73012cbd303fbe56572,030039fe648fcdbfb64492a4c0f788ea,c68a4e17cbbfce1831eced9e6709aeaf,OYC-205,visa,724,276,7.72,worldpay,2021-01-04,successful
9944452870813668,mathilde,john,2021-10-21,724,yahoo.com,2021724870813668,9d5487a22a761a0a7c0c6f2bd0567d36,2aa11e25b9879bc35d316998ac267c18,fe4472285cc6dc1647bc763b271ab528,d37a9ade93cea137963af485bc9accb0,e76f7e9927684f532a83e8e0172e2df2,UCD-528,visa,276,250,1.53,adyen,2021-01-04,successful
629489848863586,kathryn,koreeva,2021-02-11,620,hotmail.com,2021620848863586,6a797cb72806f239ab7fac1ff1823b8d,38b02f274d6c1b3160f12a045d13d78f,c2cd8935928e2e2cf13e59f29037e62c,1b65c67fef1ccb43033857fa8fb2aef8,5869c600697f291a75bd636c8f44a99e,CAV-863,visa,276,616,3.59,adyen,2021-01-04,successful
8778594677819655,marnie,harry,2021-11-21,826,yahoo.com,2021826677819655,03dd03f28f279c84427e5a572343f424,5aea1e7c04024f915f62c06267b16aa5,24be9521b3193bbf5e6eee7844de17cb,d37a9ade93cea137963af485bc9accb0,75ab0b5fe89f191b0df936e321a8ac8a,ZFY-670,mastercard,348,276,4.83,adyen,2021-01-04,successful
4370590090288645,blocked,connelly,2021-06-09,203,mail.ru,2021203090288645,25ec922091c9b72fddae0e30cca6bc02,c93102aabf4bdc96d298b71a0fc952f1,a75580ce1e941870ae703c003ef708c7,451205e83bb797a8054c5f5cc55fc40b,3751254484e4d5fb9cf77efccbf7b411,GLI-136,visa,250,208,3.59,paypal,2021-01-04,successful
9643036859563434,karmen,alana,2021-09-10,642,yahoo.com,2021642859563434,93ef7d1f44715aa3e6c917bc502e52f5,e3b4906716532a5542373aa4d6790550,c9d973d695023d9c4b3a595ae9b424e3,42a28eb9585cf484a6c605d9ddd6f87b,89e78e94785565416afe5280915df664,UCD-528,mastercard,380,616,0.39,paypal,2021-01-04,successful
112241660005992,tour,doran,2021-12-22,724,hotmail.com,2021724660005992,03697acc7327f69c32b6609392eeb241,a7b890fecdba41a56af06f31088bb06f,d3d6f4aefc1c822653b36cb0256b7409,a7929ca3f49e857d7c36791bfb21cada,9ae3d57bcc45c773fcb839a9c807c524,AHS-760,visa,804,112,2.22,adyen,2021-01-04,successful
2890910691655714,noreen,boncelet,2021-11-28,70,hotmail.co.uk,202170691655714,d344eba89ff1750e1097c4a13961923e,2dd35679fe3eb0ed6901aabb5987bbae,9e3096043dadcae79a9259f05d5597d6,f9cb94830c7d005f123cf06851ac888b,ef5dc6dfad70381f5318ebb0be52fc72,MZE-563,visa,100,203,2.67,adyen,2021-01-04,successful
9440006366100438,paoli,eichensaer,2021-05-25,276,gmail.com,2021276366100438,3b725a3f43fd869379fb1ececeae81f1,291144c2a1e499feb97b609cdd899762,4490fffa253513e2047be680996918ad,def0e2b5ed3bdf667e81322d995bdb09,ec933217997c8c74b75e51cc39ce052e,CLO-104,mastercard,191,724,0.03,docomo,2021-01-04,successful
6821400902938378,emigio,okabe,2021-03-10,276,hotmail.com,2021276902938378,645b364b305e131638ae40e12cd8e720,26796fad1b265f263f82a04c1955b2e9,b7337884197c030c80bc3936eedc24a3,451205e83bb797a8054c5f5cc55fc40b,e99b3d3a1b3d0c7911f4794692fac41c,FAK-340,visa,826,642,6.12,paypal,2021-01-04,successful
5248725336904977,souli,first,2021-08-17,428,gmail.com,2021428336904977,258c61b131854c0cad89f68327e0cc9e,d4cf4e63db7f264b0647f4358b1b5a97,c4d1f7b50d5f2513c93a707fc96f324a,a4286e158582828c1170079e7308784a,44fe00acf3469ef64621e0f5492af1c9,CLO-104,mastercard,250,56,1.17,docomo,2021-01-04,successful
2084575598986267,tisha,barber,2021-11-29,380,yahoo.com,2021380598986267,5e7acfc4b3e4a2998d71b2b0b53aa351,1ea4a9a2aa4eae7691ae620d2c3cea29,f5407144b1b673a2c71cf59286411f3f,451205e83bb797a8054c5f5cc55fc40b,a2c97f98713f9e77b8e8c350f165fdc5,SQH-738,visa,348,826,0.33,paypal,2021-01-04,successful
426444834621947,sabina,soldi,2021-09-28,804,yahoo.com,2021804834621947,e4b720fe441d6fb74ad123470089331e,b6f49ec2b91b6b1e9a9ab16200aaeaec,1154ed4cd4d1e783d0d516be2ec19087,f9cb94830c7d005f123cf06851ac888b,982db641a8e45f976138ac495fb4c1ea,XZG-064,visa,246,826,1.15,adyen,2021-01-04,successful
3523143709260132,dema,otis,2021-06-03,276,yahoo.com,2021276709260132,beef5b3bbd6e2b6123361fe6a3c30c69,5cbd1f4aed0d7120d63b2f031a745d48,10c8b4c181a1b7db199e8e12176f1413,87bf1122cdc66e44eb46be578c1bb624,ff381036a649ac09a8adb65d4fcbc957,ZFY-670,mastercard,348,826,0.15,adyen,2021-01-05,successful
7688275319111044,magical,maclean,2021-03-12,642,hotmail.com,2021642319111044,0b29d02b5d4397b380c98a8e744ba836,fb92c3322eb8e2d154ed91909d830e5a,2d1caf05999d9f9691e3458687559e4d,805e299f1320262f9c3b7e4112a091f3,33d714d21f8c2fb84e3c6d5c3636f146,YXF-827,visa,196,724,1.04,adyen,2021-01-05,successful
5212082743099298,stevo,esther,2021-05-23,826,aol.com,2021826743099298,2fd7367baec678f359671754d46f6b9d,4e4b6632a9ef4206669f0c816362a567,33bfa211094a51e591c7f3733111308d,9b416f5f6d26c787fea8b7df16b11392,d4daae6a8e3f8dc252611d2012058c2a,YXF-827,visa,56,276,0.08,paypal,2021-01-05,successful
7842307842074104,marytsa,day,2021-08-04,826,hotmail.com,2021826842074104,48745f6136acb5dc4d86b6dda77c2e62,067aca893b1ad84254e124e05e6e75e4,013b5836549bc2d7aefe65262373f4e6,2116acded2bc3c23e5f4443e853fa981,4f7281b413fb9c0a0d65865a99b4d25e,TEY-412,visa,276,380,6.48,adyen,2021-01-05,successful
